itemID,userID,reviewerID,asin
0,0,A1AXDE60UT3N9L,B007XVYPS2
1,0,A1AXDE60UT3N9L,B0044T2KBU
2,1,A2ASS98NVQO7I,B0000E2DJD
3,1,A2ASS98NVQO7I,B0007WWZK4
4,1,A2ASS98NVQO7I,B000EULXA2
5,1,A2ASS98NVQO7I,B00007G39I
6,1,A2ASS98NVQO7I,B00020LXKY
7,2,A26QYI7OMGK2MG,B00CNBGUI0
8,2,A26QYI7OMGK2MG,B009X9GM7E
9,2,A26QYI7OMGK2MG,B00E7TKSWK
10,3,A1MLGFNUTEM589,B002L3TS5M
11,3,A1MLGFNUTEM589,B00C6Q5S44
12,3,A1MLGFNUTEM589,B009WC1RQS
13,3,A1MLGFNUTEM589,B008IZH2QY
14,3,A1MLGFNUTEM589,B000067QC0
15,3,A1MLGFNUTEM589,B000F676D8
16,4,AI9K7IX2BUMJP,B00BU3ZLJQ
17,4,AI9K7IX2BUMJP,B000FMLVMO
18,4,AI9K7IX2BUMJP,B00A8E5GGG
19,4,AI9K7IX2BUMJP,B000RXPU0U
20,4,AI9K7IX2BUMJP,B001BS1U90
21,4,AI9K7IX2BUMJP,B00B0FT1CW
22,5,AW1HGHCKL9R2K,B000K8FYAS
23,5,AW1HGHCKL9R2K,B00A0TLM94
24,5,AW1HGHCKL9R2K,B008LQXR8W
25,5,AW1HGHCKL9R2K,B004YNRHVO
26,6,A1KCIJLE7I7KDI,B00FDOP7Y2
27,6,A1KCIJLE7I7KDI,B003MS6150
28,6,A1KCIJLE7I7KDI,B0089F9EFK
29,6,A1KCIJLE7I7KDI,B005ZFNZUC
30,6,A1KCIJLE7I7KDI,B004LBGUVW
31,6,A1KCIJLE7I7KDI,B00CBG7NEW
32,7,AHGGSY182427,B006ROJQTE
33,7,AHGGSY182427,B006BLH4XI
34,7,AHGGSY182427,B0075XNGGK
35,7,AHGGSY182427,B006ROJJCS
36,8,AE3FV83ZN6IH0,B007B4HGFA
5,8,AE3FV83ZN6IH0,B00007G39I
37,8,AE3FV83ZN6IH0,B001617RW6
38,8,AE3FV83ZN6IH0,B0006NGVM2
39,9,A2M6HSTNLNXBIS,B001W3HY8K
40,9,A2M6HSTNLNXBIS,B003LPUCNG
41,9,A2M6HSTNLNXBIS,B003KTKXAU
42,9,A2M6HSTNLNXBIS,B00112ASYO
43,9,A2M6HSTNLNXBIS,B0045H1K4Y
44,9,A2M6HSTNLNXBIS,B00439HF2K
45,10,A2AP3QDAN4W0XK,B000GKXY7U
46,10,A2AP3QDAN4W0XK,B00BN6QAVI
47,10,A2AP3QDAN4W0XK,B00028SAU2
48,11,A2HPTLW9K09WYW,B0006GK6W0
49,11,A2HPTLW9K09WYW,B004K1EZ2O
50,11,A2HPTLW9K09WYW,B00CFWWCAW
51,11,A2HPTLW9K09WYW,B004T0CQ0Y
52,11,A2HPTLW9K09WYW,B009YZXM9I
53,11,A2HPTLW9K09WYW,B007Q0ONNW
54,11,A2HPTLW9K09WYW,B0017L3SPU
55,11,A2HPTLW9K09WYW,B006BM9RIW
56,11,A2HPTLW9K09WYW,B004S8F7QM
57,11,A2HPTLW9K09WYW,B003F1KETI
58,12,A2HWLLUO94JDQU,B004K4V74K
59,12,A2HWLLUO94JDQU,B000B6MKMO
60,12,A2HWLLUO94JDQU,B00083HKL6
61,12,A2HWLLUO94JDQU,B001W2WKRQ
62,12,A2HWLLUO94JDQU,B0060LCZH4
63,12,A2HWLLUO94JDQU,B002CICG3M
64,12,A2HWLLUO94JDQU,B000NW5RWQ
65,13,AM6J9WAJP0SAD,B000NW77J2
66,13,AM6J9WAJP0SAD,B000ETRENI
67,13,AM6J9WAJP0SAD,B0015466LM
68,13,AM6J9WAJP0SAD,B000BI8EMC
69,14,A3GXFT6MRZK99N,B0089RPUHO
70,14,A3GXFT6MRZK99N,B002QNM8NQ
71,14,A3GXFT6MRZK99N,B001W30D2O
72,14,A3GXFT6MRZK99N,B004Z7H14M
73,14,A3GXFT6MRZK99N,B004ORV2O8
74,14,A3GXFT6MRZK99N,B007U7M0WM
75,14,A3GXFT6MRZK99N,B000063XMN
76,14,A3GXFT6MRZK99N,B004ORV2WK
77,14,A3GXFT6MRZK99N,B004UU9WI2
78,14,A3GXFT6MRZK99N,B0038AJIMK
79,14,A3GXFT6MRZK99N,B000XOM3ZS
80,15,A3ICAEUGQ539UP,B000GE40SS
81,15,A3ICAEUGQ539UP,B00851EHAA
82,15,A3ICAEUGQ539UP,B000MRM8RY
83,15,A3ICAEUGQ539UP,B000MRGWQW
84,15,A3ICAEUGQ539UP,B00388IS1E
85,16,A1VJ1I17SJC98V,B000088UPW
86,16,A1VJ1I17SJC98V,B00021HB9K
87,16,A1VJ1I17SJC98V,B006O6FKG8
88,16,A1VJ1I17SJC98V,B003U8XZ06
89,16,A1VJ1I17SJC98V,B003U8XYZM
90,17,A3AGWRMHKLFLWR,B00022F0WE
91,17,A3AGWRMHKLFLWR,B002R1ZYEM
92,17,A3AGWRMHKLFLWR,B0001J2NKK
93,17,A3AGWRMHKLFLWR,B00CI6J3I4
94,17,A3AGWRMHKLFLWR,B0043E8JKW
95,17,A3AGWRMHKLFLWR,B00BBLCYH4
96,17,A3AGWRMHKLFLWR,B00EB4C5FO
97,17,A3AGWRMHKLFLWR,B00FBW8ZIQ
98,17,A3AGWRMHKLFLWR,B001543YEY
99,17,A3AGWRMHKLFLWR,B002NPBT50
